指数名称,最新价,涨跌幅(%),涨跌额,成交量,成交额
上证资源,5017.49,5.49,261.01,83475104,1814.58亿
上证上游,5631.59,5.26,281.35,82689164,1801.81亿
上证材料,4559.81,5.0,217.08,85408740,1794.07亿
上证商品,4432.34,4.91,207.53,95090063,1913.62亿
上证能源,2144.16,3.75,77.5,44882795,401.8亿
上证电信,4287.89,1.42,60.22,27880926,583.19亿
上证周期,4099.84,1.22,49.41,121088793,1903.31亿
上证国企,1293.02,1.09,13.9,133400688,2507.89亿
上证F300,10014.26,1.08,106.67,147901467,2682.41亿
上证地企,1648.33,1.06,17.28,65598413,1546.74亿
上证海外,1631.25,0.99,16.0,146664453,2175.08亿
上证中盘,4787.92,0.9,42.68,178036071,2495.65亿
