日期,开盘,收盘,最高,最低,成交量,涨跌幅
2025-11-04,35.97,34.95,36.0,34.7,26919,-2.4
2025-11-05,34.39,34.65,34.99,34.09,21795,-0.86
2025-11-06,34.65,35.22,35.6,34.6,23684,1.65
2025-11-07,35.15,34.56,35.3,34.42,19439,-1.87
2025-11-10,34.56,33.81,34.76,33.62,22752,-2.17
2025-11-11,33.84,33.73,34.16,33.59,13570,-0.24
2025-11-12,33.7,33.49,33.99,33.2,12211,-0.71
2025-11-13,33.32,33.72,34.14,33.0,15985,0.69
2025-11-14,33.48,33.54,33.97,33.39,11508,-0.53
2025-11-17,33.4,33.26,33.72,33.15,11301,-0.83
2025-11-18,33.26,32.9,33.4,32.84,11935,-1.08
2025-11-19,32.9,32.48,33.07,32.4,11449,-1.28
2025-11-20,32.57,32.48,32.85,32.35,7560,0.0
2025-11-21,32.26,31.55,32.36,31.25,15920,-2.86
2025-11-24,31.55,31.99,32.09,31.42,8734,1.39
2025-11-25,32.2,32.18,32.59,32.03,11354,0.59
2025-11-26,32.19,32.28,32.58,32.06,10173,0.31
2025-11-27,32.36,32.2,32.64,32.15,9815,-0.25
2025-11-28,32.2,32.61,32.61,32.05,8568,1.27
2025-12-01,32.7,32.86,32.96,32.6,10342,0.77
2025-12-02,32.8,32.0,32.8,31.98,11272,-2.62
2025-12-03,32.19,31.72,32.24,31.5,10905,-0.88
2025-12-04,32.07,32.58,33.05,32.07,25056,2.71
2025-12-05,32.57,33.25,33.33,32.31,25834,2.06
2025-12-08,33.28,33.31,33.42,32.88,17055,0.18
2025-12-09,33.05,33.19,33.74,33.03,13828,-0.36
2025-12-10,33.18,33.8,33.88,32.85,26973,1.84
2025-12-11,33.88,33.2,33.89,33.11,19106,-1.78
2025-12-12,33.39,33.32,33.62,33.12,13215,0.36
2025-12-15,33.0,32.69,33.29,32.66,14191,-1.89
2025-12-16,32.69,31.94,32.69,31.9,13777,-2.29
2025-12-17,31.92,32.3,32.4,31.48,16613,1.13
2025-12-18,32.0,32.03,32.55,31.9,10753,-0.84
2025-12-19,32.17,32.38,32.72,32.15,9455,1.09
2025-12-22,32.45,33.23,33.42,32.34,21866,2.63
2025-12-23,33.22,33.25,33.41,32.97,12598,0.06
2025-12-24,33.08,33.96,34.08,33.08,22203,2.14
2025-12-25,34.14,34.92,35.05,33.86,29922,2.83
2025-12-26,34.8,34.54,34.97,34.2,22352,-1.09
2025-12-29,34.54,34.95,35.28,34.5,20086,1.19
2025-12-30,34.8,35.58,36.08,34.71,30048,1.8
2025-12-31,35.59,35.41,35.98,35.19,22653,-0.48
2026-01-05,35.38,35.34,35.51,35.11,24460,-0.2
2026-01-06,35.32,35.37,35.8,35.26,22173,0.08
2026-01-07,35.39,35.33,35.7,35.12,22460,-0.11
2026-01-08,35.15,35.48,35.66,35.13,20173,0.42
2026-01-09,35.48,35.7,35.99,35.39,21071,0.62
2026-01-12,36.04,36.06,36.2,35.45,28437,1.01
2026-01-13,36.05,36.22,37.05,35.43,39827,0.44
2026-01-14,36.3,35.93,36.98,35.65,41311,-0.8
2026-01-15,35.79,35.92,36.1,35.5,18075,-0.03
2026-01-16,35.93,36.79,37.06,35.93,34026,2.42
2026-01-19,37.1,37.55,37.79,36.8,37347,2.07
2026-01-20,37.68,37.7,37.88,37.22,30334,0.4
2026-01-21,37.4,37.95,38.05,37.37,22128,0.66
2026-01-22,37.95,37.89,38.3,37.61,20706,-0.16
2026-01-23,37.9,38.4,38.49,37.4,29626,1.35
2026-01-26,38.33,37.65,38.74,37.33,31379,-1.95
2026-01-27,37.45,37.44,37.65,36.0,29100,-0.56
2026-01-28,37.28,36.81,37.46,36.59,21250,-1.68
